Date,Open,High,Low,Close,Adj Close,Volume
2016-03-14,14.176667,15.632000,14.042667,15.516000,15.516000,288864000
2016-03-21,15.689333,15.992000,14.333333,15.183333,15.183333,293002500
2016-03-28,15.440667,16.526667,15.000000,15.839333,15.839333,539751000
2016-04-04,16.608000,17.955999,16.000000,16.671333,16.671333,770244000
2016-04-11,16.733334,17.266001,16.242001,16.967333,16.967333,416026500
2016-04-18,16.815332,17.220667,16.083332,16.916668,16.916668,335886000
2016-04-25,16.867332,17.158667,15.854000,16.050667,16.050667,270490500
2016-05-02,16.100000,16.212667,13.874000,14.328667,14.328667,506799000
2016-05-09,14.381333,14.410000,13.577333,13.840667,13.840667,307233000
2016-05-16,13.876667,14.703333,13.601333,14.685333,14.685333,409258500
2016-05-23,14.658000,15.062000,14.345333,14.869333,14.869333,284487000
2016-05-30,14.869333,14.983333,14.459333,14.599333,14.599333,150502500
2016-06-06,14.533333,16.056667,14.363333,14.586000,14.586000,374307000
2016-06-13,14.633333,15.051333,14.168667,14.364667,14.364667,243519000
2016-06-20,14.633333,14.916667,12.648667,12.876667,12.876667,734761500
2016-06-27,12.724000,14.549333,12.524667,14.433333,14.433333,444837000
2016-07-04,13.982000,14.654000,13.866667,14.452000,14.452000,266730000
2016-07-11,14.664000,15.166667,14.634000,14.693333,14.693333,277173000
2016-07-18,14.642667,15.320000,14.553333,14.818000,14.818000,241561500
2016-07-25,14.818000,15.685333,14.758000,15.652667,15.652667,244494000
2016-08-01,15.700000,15.775333,14.760000,15.335333,15.335333,287860500
2016-08-08,15.200000,15.436000,14.894000,15.040667,15.040667,157561500
2016-08-15,15.068000,15.300000,14.819333,15.000000,15.000000,141937500
2016-08-22,14.944667,15.232667,14.588000,14.666000,14.666000,201331500
2016-08-29,14.676667,14.693333,13.080000,13.185333,13.185333,354483000
2016-09-05,13.268000,13.766667,12.913333,12.964667,12.964667,227496000
2016-09-12,13.000000,13.713333,12.896667,13.693333,13.693333,236161500
2016-09-19,13.800000,14.012000,13.437333,13.830000,13.830000,189474000
2016-09-26,13.766667,14.066667,13.303333,13.602000,13.602000,197539500
2016-10-03,14.153333,14.378000,13.053333,13.107333,13.107333,294229500
2016-10-10,13.423333,13.609333,13.086667,13.100667,13.100667,215698500
2016-10-17,13.136667,13.777333,12.800000,13.339333,13.339333,378631500
2016-10-24,13.400000,14.246667,13.322000,13.331333,13.331333,423048000
2016-10-31,13.499333,13.499333,12.397333,12.704000,12.704000,357070500
2016-11-07,12.906000,13.166000,12.028000,12.570667,12.570667,390744000
2016-11-14,12.533333,12.866667,11.879333,12.334667,12.334667,359790000
2016-11-21,12.336000,13.149333,12.247333,13.110000,13.110000,258336000
2016-11-28,13.032000,13.290000,12.000000,12.098000,12.098000,325264500
2016-12-05,12.167333,12.922667,12.167333,12.812000,12.812000,282634500
2016-12-12,12.853333,13.533333,12.745333,13.499333,13.499333,306453000
2016-12-19,13.499333,14.230000,13.322667,14.222667,14.222667,317496000
2016-12-26,14.325333,14.920000,14.112000,14.246000,14.246000,275787000
2017-01-02,14.324000,15.354000,14.064000,15.267333,15.267333,428646000
2017-01-09,15.264667,15.856667,15.038667,15.850000,15.850000,317602500
2017-01-16,15.780000,16.578667,15.624667,16.315332,16.315332,304846500
2017-01-23,16.389999,17.230667,16.366667,16.863333,16.863333,340341000
2017-01-30,16.835333,17.059334,16.473333,16.755333,16.755333,248437500
2017-02-06,16.733334,18.078667,16.708668,17.948668,17.948668,347703000
2017-02-13,18.049334,19.159332,17.610001,18.148666,18.148666,489856500
2017-02-20,18.363333,18.896667,16.680000,17.133333,17.133333,562777500
2017-02-27,16.544666,16.990000,16.134001,16.771334,16.771334,429294000
2017-03-06,16.527332,16.926001,16.200001,16.246000,16.246000,262287000
2017-03-13,16.321333,17.716667,16.185333,17.433332,17.433332,443722500
2017-03-20,17.373333,17.653334,16.682667,17.544001,17.544001,353245500
2017-03-27,17.373333,18.799999,17.316668,18.553333,18.553333,380064000
2017-04-03,19.126667,20.325333,18.972000,20.169333,20.169333,630064500
2017-04-10,20.610001,20.915333,19.686666,20.266666,20.266666,430866000
2017-04-17,20.180000,20.610001,19.860001,20.373333,20.373333,325974000
2017-04-24,20.614668,20.986668,20.390667,20.938000,20.938000,367354500
2017-05-01,20.992001,21.844000,19.384001,20.556667,20.556667,655126500
2017-05-08,20.726667,21.799999,20.388000,21.653999,21.653999,469500000
2017-05-15,21.225332,21.346666,20.354000,20.722000,20.722000,432417000
2017-05-22,20.853333,21.699333,20.232000,21.676001,21.676001,397456500
2017-05-29,21.733334,22.992001,21.717333,22.656668,22.656668,464167500
2017-06-05,22.566668,25.124666,22.280666,23.821333,23.821333,803881500
2017-06-12,23.865999,25.616667,23.374666,24.760000,24.760000,784522500
2017-06-19,25.000000,25.799334,24.520000,25.563334,25.563334,493302000
2017-06-26,25.779333,25.796667,23.606667,24.107332,24.107332,509587500
