date,DGS5,DGS30,spread,spread_EWM(1),spread_EWM(10),spread_EWM(20),spread_EWM(50),spread_EWM(100),spread_EWM(200),spread_EWM(500),spread_EWM(1000)
1997-09-05,0.062400000000000004,0.0665,-0.0040999999999999995,-0.003999937680249642,-0.004086281450392728,-0.004030169069294837,-0.004066633241849296,-0.0043224775247594875,-0.004957395108057712,-0.006245145618711766,-0.006104105182178185
1997-09-08,0.0623,0.0662,-0.0038999999999999937,-0.00394917568393236,-0.004073143123336534,-0.004025553951373972,-0.004064253001863655,-0.004319444809022871,-0.004953589472692669,-0.006241759746831714,-0.006102473053442717
1997-09-09,0.062400000000000004,0.0663,-0.0038999999999999937,-0.003924394236911325,-0.004060974784097659,-0.004021108645501901,-0.0040619079743516116,-0.00431643467880739,-0.00494979806231743,-0.006238378960992413,-0.006100842210898742
1997-09-10,0.0626,0.0666,-0.0040000000000000036,-0.0039623453650499555,-0.004056703678633062,-0.004020362283959746,-0.004061024569156994,-0.004314164407604429,-0.004946380626531805,-0.006235147614016239,-0.0060992866958672265
1997-09-11,0.06269999999999999,0.0668,-0.004100000000000006,-0.004031307373948611,-0.004059727146944864,-0.00402317448189178,-0.004061580455704074,-0.004312628288076402,-0.004943335714667869,-0.006232065472494464,-0.006097806445364347
1997-09-12,0.0617,0.0659,-0.004200000000000002,-0.004115736136938164,-0.004069494695663591,-0.004029410825775472,-0.004063553685428309,-0.004311820662479938,-0.0049406618824186935,-0.006229132303432589,-0.0060964013964693595
1997-09-15,0.0617,0.0658,-0.0040999999999999995,-0.004107864224761964,-0.004071613209241746,-0.004031897393816582,-0.004064072989720258,-0.004310302156113544,-0.004937638376148625,-0.006226059202583122,-0.006094923422517907
1997-09-16,0.06,0.0641,-0.004100000000000006,-0.004103931152158182,-0.004073579719909798,-0.004034293585278795,-0.004064584648521377,-0.004308794929538454,-0.004934626156351051,-0.006222990715366601,-0.006093446612757241
1997-09-17,0.0599,0.0639,-0.003999999999999997,-0.004051959231850536,-0.0040684941842116865,-0.004033088316369694,-0.004063665294619261,-0.004306582383512018,-0.00493126561834245,-0.006219782515246368,-0.006091896941280314
1997-09-18,0.0602,0.064,-0.0038000000000000048,-0.003925971926270389,-0.004049976734776034,-0.004024905139428397,-0.004059913808224751,-0.004302953605684693,-0.004927198596824148,-0.006216290509015402,-0.006090200447488301
1997-09-19,0.0601,0.0638,-0.003699999999999995,-0.0038129825149720055,-0.00402588781080899,-0.004013510387580669,-0.004054795236571105,-0.0042986356007251635,-0.004922787283095642,-0.006212659441157186,-0.0060884312717764105
1997-09-22,0.0599,0.0635,-0.003599999999999999,-0.0037064896325335723,-0.003996628434075694,-0.003999022754042614,-0.004048330231010558,-0.0042936336467433635,-0.00491803300555205,-0.006208889528094031,-0.006086589474755399
